iter	Logloss
0	0.6620492696
1	0.635769542
2	0.6047770389
3	0.5780554083
4	0.5515621361
5	0.5291971974
6	0.5074223646
7	0.4882436607
8	0.4687911476
9	0.4532393476
10	0.4390339418
11	0.4254003207
12	0.4116864251
13	0.3984805105
14	0.3885805767
15	0.3776499504
16	0.3682513944
17	0.3594333381
18	0.3496184962
19	0.3404009067
20	0.3319507
21	0.3247412509
22	0.3180781252
23	0.3116513289
24	0.3055327583
25	0.2998390246
26	0.2938911666
27	0.2887846665
28	0.2850182364
29	0.2811644481
30	0.2774820538
31	0.274043836
32	0.2704369773
33	0.2668611182
34	0.2637032816
35	0.2609611289
36	0.2581326151
37	0.2550855015
38	0.2526840784
39	0.2507723356
40	0.2488305248
41	0.2466262971
42	0.2443667658
43	0.2423236685
44	0.240349639
45	0.238543619
46	0.2366154976
47	0.2350000291
48	0.2333033527
49	0.2319964149
50	0.2303046404
51	0.2292779849
52	0.2280575255
53	0.2268997445
54	0.2257198759
55	0.2246171226
56	0.2234923777
57	0.2222514848
58	0.2212032119
59	0.2205931269
60	0.2199073933
61	0.2190129821
62	0.2182462788
63	0.2175377318
64	0.2165720406
65	0.2159576578
66	0.2152540966
67	0.2147266213
68	0.2141029428
69	0.213398071
70	0.2126041742
71	0.2119640181
72	0.2114584743
73	0.2108588246
74	0.2104696027
75	0.2099446297
76	0.2094309747
77	0.2089161586
78	0.2085649452
79	0.2080696162
80	0.2076558508
81	0.2072865839
82	0.2067008748
83	0.2061806062
84	0.2057475631
85	0.2053895805
86	0.2050075623
87	0.2046756339
88	0.2041464895
89	0.2037669189
90	0.2033999966
91	0.2031515616
92	0.2028415354
93	0.2025496305
94	0.2023100968
95	0.2020687094
96	0.2017882648
97	0.2014999723
98	0.2012665059
99	0.2009886384
100	0.20054529
101	0.2002295218
102	0.1999651706
103	0.199614475
104	0.1993349607
105	0.1990113532
106	0.1987519567
107	0.1984530187
108	0.1982713732
109	0.1980516625
110	0.1977979566
111	0.1975677714
112	0.1973112293
113	0.1970440548
114	0.1968554085
115	0.1965102683
116	0.1962464231
117	0.1959722974
118	0.1956748539
119	0.1954831072
120	0.1952577494
121	0.1951245495
122	0.1949597602
123	0.1947954851
124	0.194580431
125	0.1943332657
126	0.1940849251
127	0.193957163
128	0.1937199128
129	0.1936253036
130	0.1933995666
131	0.1931951837
132	0.1930285162
133	0.1928409607
134	0.1926601982
135	0.1924628274
136	0.1922917039
137	0.1921186434
138	0.1920519314
139	0.1919316041
140	0.1918468706
141	0.1917038572
142	0.1915694174
143	0.1914080425
144	0.1912655124
145	0.1911431775
146	0.1909898467
147	0.1907791985
148	0.1905881555
149	0.1903742302
150	0.1901809828
151	0.1900055855
152	0.1898298569
153	0.1896390585
154	0.1894504202
155	0.189284528
156	0.1891900412
157	0.1889752938
158	0.1887832189
159	0.1885798446
160	0.1883945174
161	0.1882386538
162	0.1880996317
163	0.1879917969
164	0.1878853471
165	0.1877020977
166	0.187596008
167	0.1874439847
168	0.1873638008
169	0.1872470676
170	0.1870023887
171	0.1867507151
172	0.1865972332
173	0.1863704684
174	0.186234301
175	0.1860772337
176	0.1859713457
177	0.1858385222
178	0.1857959472
179	0.1857216444
180	0.1855756433
181	0.1854566699
182	0.1853276329
183	0.185257825
184	0.1850508609
185	0.1849312412
186	0.1847985955
187	0.1846434114
188	0.1844996967
189	0.1843623285
190	0.1841758469
191	0.184117515
192	0.1840272357
193	0.1839303678
194	0.1838017661
195	0.1836640955
196	0.1835676014
197	0.1835059937
198	0.1833604465
199	0.1832254055
200	0.1831106037
201	0.1830295991
202	0.1828739067
203	0.1827736724
204	0.1826828091
205	0.1826451225
206	0.1824138424
207	0.1823459086
208	0.1822245231
209	0.1820906125
210	0.1819400952
211	0.1818465739
212	0.1817645949
213	0.1816862269
214	0.1816337574
215	0.181554566
216	0.1813195982
217	0.1812127226
218	0.1810407363
219	0.1809276626
220	0.180786955
221	0.18059375
222	0.1804891931
223	0.1804383331
224	0.180357524
225	0.1802391494
226	0.180143983
227	0.1800900451
228	0.1800047645
229	0.1799248315
230	0.1798155896
231	0.1797436017
232	0.1796200807
233	0.1795089071
234	0.179448443
235	0.1792795311
236	0.1791580432
237	0.1790414036
238	0.1789167125
239	0.1787529913
240	0.1786490293
241	0.1785964423
242	0.1785176646
243	0.1784121435
244	0.1782878969
245	0.1781477714
246	0.1780240784
247	0.1778475225
248	0.1776624079
249	0.1775502517
250	0.177404833
251	0.1772237362
252	0.1771052679
253	0.1769495398
254	0.1767259485
255	0.1766366561
256	0.1764671403
257	0.1763303767
258	0.1762687136
259	0.1761159296
260	0.1760567546
261	0.1759083735
262	0.1758591171
263	0.1757897841
264	0.1755489514
265	0.1754391449
266	0.175325306
267	0.1752487524
268	0.1751397115
269	0.1749225121
270	0.1747619602
271	0.174543119
272	0.1744057961
273	0.1742407172
274	0.1741628653
275	0.1740451439
276	0.1740102168
277	0.1738968885
278	0.1737622946
279	0.1736067518
280	0.1735243421
281	0.1734977502
282	0.173377996
283	0.1732443684
284	0.1731307317
285	0.1730722994
286	0.1729538742
287	0.1728769893
288	0.1728087176
289	0.1727511978
290	0.1726753283
291	0.1725661697
292	0.1724032384
293	0.1722941729
294	0.17214989
295	0.1720772868
296	0.1719280697
297	0.1717322447
298	0.171645898
299	0.1715669584
300	0.1714880287
301	0.1713488949
302	0.171171428
303	0.1710509423
304	0.1708557471
305	0.1707623663
306	0.1706736718
307	0.1706534651
308	0.17052566
309	0.1704567585
310	0.1703538674
311	0.1702649367
312	0.1701235942
313	0.1700269011
314	0.1698988552
315	0.1698315835
316	0.1696847385
317	0.1696170483
318	0.1694979804
319	0.1694242332
320	0.169379521
321	0.1692771499
322	0.1691464792
323	0.1689865769
324	0.1688007063
325	0.1686034083
326	0.1685258789
327	0.1684172546
328	0.1682576893
329	0.1681746243
330	0.1680801529
331	0.1679951341
332	0.1679182874
333	0.1677777201
334	0.1676420541
335	0.1675466622
336	0.167447821
337	0.1674062684
338	0.1673610324
339	0.1672077512
340	0.1670649196
341	0.1669260131
342	0.1668278694
343	0.1666586783
344	0.1664991388
345	0.1664189313
346	0.1662696014
347	0.1661394257
348	0.1660062141
349	0.1658903063
350	0.1658263973
351	0.1656158287
352	0.1655107265
353	0.1654192181
354	0.1653659173
355	0.1652191164
356	0.1651631715
357	0.1649709904
358	0.1649458582
359	0.1648746089
360	0.1647171944
361	0.164532251
362	0.1644412587
363	0.164318725
364	0.1642889285
365	0.1641730045
366	0.1640244171
367	0.1639033587
368	0.1637562932
369	0.1636019679
370	0.1634626324
371	0.163383326
372	0.1632741944
373	0.1631922619
374	0.1630946382
375	0.1629865253
376	0.1629173664
377	0.1628711297
378	0.162735456
379	0.1626497028
380	0.162611019
381	0.1625244752
382	0.1623600638
383	0.1623054297
384	0.1621860883
385	0.1620567049
386	0.1619688371
387	0.1618712615
388	0.1618044322
389	0.1616771772
390	0.1616129092
391	0.1615386214
392	0.1614750673
393	0.1614039444
394	0.1613754231
395	0.1613128092
396	0.1611617445
397	0.1611167927
398	0.1609593652
399	0.1608601309
400	0.1607488968
401	0.1606600098
402	0.1605249951
403	0.1604494196
404	0.1603442673
405	0.1602441959
406	0.1601451588
407	0.1600330252
408	0.1598738478
409	0.1598490832
410	0.1597350702
411	0.1596654467
412	0.1595710971
413	0.1594594406
414	0.1593211478
415	0.1592242941
416	0.1591634106
417	0.1590870761
418	0.1590014286
419	0.1588775553
420	0.1588325746
421	0.1587218478
422	0.1585915952
423	0.1585232863
424	0.158340801
425	0.1581585679
426	0.1580819807
427	0.1580267776
428	0.1579929454
429	0.1578713014
430	0.1576889458
431	0.1575557236
432	0.1574297292
433	0.1574147265
434	0.1573335711
435	0.1572362725
436	0.1571417921
437	0.156997047
438	0.1568606635
439	0.1567328201
440	0.1566698445
441	0.1565566335
442	0.1565105813
443	0.156463728
444	0.1563827556
445	0.1562919082
446	0.1562448773
447	0.1561883585
448	0.1561580817
449	0.1560407558
450	0.1559424821
451	0.1558401939
452	0.1557528579
453	0.1556718549
454	0.1555488225
455	0.1554829635
456	0.1553872714
457	0.1552520635
458	0.1551277746
459	0.1549996957
460	0.15491818
461	0.1548148893
462	0.1547541002
463	0.1546528987
464	0.1545466445
465	0.1545189875
466	0.1544321055
467	0.1543425101
468	0.1541967714
469	0.1539810761
470	0.1539049558
471	0.1538092428
472	0.1536734236
473	0.1535677982
474	0.153487887
475	0.1533639597
476	0.1532533482
477	0.1531815779
478	0.1531108484
479	0.1530186257
480	0.1529066073
481	0.1528240607
482	0.1526549552
483	0.1525615313
484	0.1524819119
485	0.1523883092
486	0.1522924824
487	0.1521061243
488	0.1519868171
489	0.151955488
490	0.151784384
491	0.1516838432
492	0.1516262591
493	0.1515486981
494	0.1513782375
495	0.1512457784
496	0.151169983
497	0.1511172962
