iter	Passed	Remaining
404	8223	2944
405	8243	2923
406	8262	2902
407	8300	2888
408	8320	2868
409	8339	2847
410	8357	2826
411	8376	2805
412	8396	2785
413	8413	2763
414	8432	2743
415	8452	2722
416	8471	2701
417	8490	2681
418	8508	2660
419	8525	2638
420	8546	2618
421	8565	2598
422	8585	2577
423	8604	2557
424	8624	2536
425	8644	2516
426	8664	2495
427	8683	2475
428	8701	2454
429	8720	2433
430	8740	2413
431	8761	2393
432	8781	2372
433	8801	2352
434	8822	2332
435	8838	2311
436	8858	2290
437	8878	2270
438	8898	2249
439	8919	2229
440	8938	2209
441	8958	2188
442	8978	2168
443	8995	2147
444	9016	2127
445	9034	2106
446	9056	2086
447	9076	2066
448	9096	2046
449	9114	2025
450	9133	2004
451	9154	1984
452	9175	1964
453	9194	1944
454	9213	1923
455	9232	1903
456	9251	1882
457	9269	1862
458	9288	1841
459	9307	1821
460	9326	1800
461	9345	1780
462	9365	1759
463	9385	1739
464	9406	1719
465	9427	1699
466	9446	1678
467	9465	1658
468	9484	1638
469	9504	1617
470	9523	1597
471	9542	1577
472	9562	1556
473	9583	1536
474	9602	1516
475	9621	1495
476	9641	1475
477	9661	1455
478	9680	1434
479	9698	1414
480	9719	1394
481	9739	1373
482	9758	1353
483	9777	1333
484	9796	1312
485	9816	1292
486	9836	1272
487	9856	1252
488	9876	1231
489	9896	1211
490	9916	1191
491	9937	1171
492	9959	1151
493	9983	1131
494	10004	1111
495	10023	1091
496	10044	1071
497	10066	1051
498	10086	1030
499	10105	1010
500	10125	990
501	10146	970
502	10168	950
503	10188	929
504	10211	909
505	10233	889
506	10253	869
507	10273	849
508	10294	829
509	10316	809
510	10337	788
511	10356	768
512	10376	748
513	10396	728
514	10416	707
515	10436	687
516	10455	667
517	10476	647
518	10496	626
519	10515	606
520	10534	586
521	10552	566
522	10570	545
523	10586	525
524	10608	505
525	10626	484
526	10645	464
527	10665	444
528	10684	424
529	10703	403
530	10722	383
531	10742	363
532	10759	343
533	10778	322
534	10798	302
535	10814	282
536	10831	262
537	10849	241
538	10866	221
539	10883	201
540	10900	181
541	10919	161
542	10938	141
543	10956	120
544	10973	100
545	10993	80
546	11011	60
547	11029	40
548	11049	20
549	11070	0
